k[h/Mpc] G2(z=0.00) G2(z=0.50) G2(z=1.00) G2(z=2.00) G2(z=3.00) 
0.0125664 2.27863128492 2.26672995232 2.26191545996 2.28439855692 2.26432579748 
0.0193692 2.24239897172 2.24115099738 2.24239657928 2.2652458294 2.2463957166 
0.0289616 2.20330492016 2.21400830144 2.22328545514 2.25608243684 2.24267676634 
0.039385 2.2338947469 2.23949548072 2.24503390464 2.27296265142 2.25634680228 
0.0503594 2.16033948932 2.18330963202 2.20261590352 2.2455297181 2.2339596249 
0.0608263 2.17165570586 2.20049004682 2.22156665016 2.26222059302 2.24825132916 
0.0703551 2.17155985338 2.19676515534 2.2159878255 2.25720073028 2.2423691559 
0.0803445 2.20983707306 2.21863531716 2.22905171816 2.26400023676 2.24757727076 
0.090573 2.3095380135 2.28810762118 2.27805438508 2.29038325378 2.26280930284 
0.100644 2.40509356022 2.35842818454 2.3321704211 2.32704664996 2.28965849776 
0.11023 2.35010950504 2.30322789692 2.28419312506 2.2916557555 2.26320298476 
0.119724 2.33298632176 2.3165584263 2.30954094784 2.31769460404 2.28387869512 
0.129804 2.32509344726 2.30434064792 2.29843546936 2.31144526524 2.27933446572 
0.140162 2.44432478496 2.39992516992 2.3750650548 2.36106748668 2.31361524788 
0.150266 2.61223408296 2.54320785338 2.47888950744 2.41130586736 2.33929930514 
0.160095 2.73595395994 2.62851302642 2.53078743094 2.4316241303 2.34991328594 
0.169444 2.70803976186 2.58960612086 2.50404868388 2.4279071309 2.35190681834 
0.17946 2.738285124 2.6088078593 2.51639811316 2.43581906202 2.35730544428 
0.189654 2.75547984264 2.63856853526 2.5386412535 2.44671372878 2.36359122982 
0.200051 2.8581290823 2.69070057312 2.58024039936 2.47569724172 2.38272687758 
0.210041 2.89564930044 2.76217185652 2.66561890698 2.54251629616 2.42870966312 
0.219554 3.04787053572 2.91017431636 2.76365329972 2.59138584836 2.46198342102 
0.229778 3.08287548004 2.89597842868 2.74978541764 2.59407252726 2.4672489854 
0.240106 3.16757762812 2.9525078586 2.78048859942 2.59418374976 2.45664909286 
0.250215 3.11962507406 2.92967606194 2.78178656836 2.61025161628 2.47471946746 
0.259904 3.24138341028 3.02164588154 2.83960414572 2.64486384476 2.49626144232 
0.269778 3.27497686598 3.08006629324 2.92343329372 2.71748942582 2.54949587314 
0.280022 3.35390250028 3.18813416488 2.9933047238 2.76140306566 2.57797302932 
0.290222 3.3922109544 3.1428867506 2.97161387336 2.77331426074 2.59444150034 
0.300311 3.4399448727 3.23969237984 3.04567241444 2.79082131742 2.59519336446 
0.310061 3.48959277866 3.24491071892 3.02582755946 2.78300068698 2.5991938272 
0.319908 3.50887499016 3.29234793624 3.0777830845 2.83290083966 2.63843458034 
0.33016 3.52184530754 3.3018187824 3.13627559182 2.9014566484 2.68208571966 
0.340074 3.67173234812 3.43012061432 3.19402581988 2.92018713722 2.7035386137 
0.350039 3.62242313782 3.422121381 3.2463792551 2.9710436181 2.7284274045 
0.359957 3.66094773542 3.42896607364 3.28033375176 3.01465364324 2.75266215818 
0.369889 3.71547424278 3.5125844135 3.32320385498 3.01864583054 2.7585888705 
0.380062 3.80624640382 3.55713606534 3.36360690574 3.04492702442 2.779569602 
0.39012 3.79024514308 3.5646382892 3.39872216044 3.09736080036 2.80934488556 
0.40008 3.85941052514 3.58748695464 3.41911829016 3.14010555478 2.84844596928 
0.409961 3.76764457354 3.6748396196 3.54016909562 3.17662951924 2.8669395985 
0.419893 3.86845306802 3.69730139288 3.50847619558 3.220646237 2.9077423309 
